district,division,month,month_name,total_area_km2,water_area_km2,water_fraction,year,water_area_calibrated_km2,season
Khagrachhari,Chittagong,4,April,3108.48,0.01,3e-06,2015,0.0,Pre-Monsoon (Mar-May)
Khulna,Khulna,4,April,3868.06,202.38,0.052322,2015,468.3,Pre-Monsoon (Mar-May)
Kishoreganj,Dhaka,4,April,2821.62,52.62,0.01865,2015,121.8,Pre-Monsoon (Mar-May)
Kurigram,Rangpur,4,April,2481.86,257.41,0.103716,2015,595.7,Pre-Monsoon (Mar-May)
Kushtia,Khulna,4,April,1830.28,59.98,0.032771,2015,138.8,Pre-Monsoon (Mar-May)
Lakshmipur,Chittagong,4,April,1573.07,174.0,0.11061,2015,402.7,Pre-Monsoon (Mar-May)
Lalmonirhat,Rangpur,4,April,1381.75,5.45,0.003942,2015,12.6,Pre-Monsoon (Mar-May)
Madaripur,Dhaka,4,April,1257.23,26.87,0.021376,2015,62.2,Pre-Monsoon (Mar-May)
Magura,Khulna,4,April,1143.98,6.83,0.005969,2015,15.8,Pre-Monsoon (Mar-May)
Manikganj,Dhaka,4,April,1531.92,102.44,0.066873,2015,237.1,Pre-Monsoon (Mar-May)
Maulvibazar,Sylhet,4,April,2819.05,44.05,0.015628,2015,101.9,Pre-Monsoon (Mar-May)
Meherpur,Khulna,4,April,732.79,1.09,0.001492,2015,2.5,Pre-Monsoon (Mar-May)
Munshiganj,Dhaka,4,April,1036.66,41.33,0.039869,2015,95.6,Pre-Monsoon (Mar-May)
Mymensingh,Dhaka,4,April,4784.19,9.01,0.001882,2015,20.9,Pre-Monsoon (Mar-May)
Naogaon,Rajshahi,4,April,3824.58,5.64,0.001474,2015,13.1,Pre-Monsoon (Mar-May)
Narail,Khulna,4,April,1072.86,18.14,0.016909,2015,42.0,Pre-Monsoon (Mar-May)
Narayanganj,Dhaka,4,April,832.16,24.86,0.029876,2015,57.5,Pre-Monsoon (Mar-May)
Narsingdi,Dhaka,4,April,1281.34,48.71,0.038013,2015,112.7,Pre-Monsoon (Mar-May)
Natore,Rajshahi,4,April,2101.7,11.26,0.00536,2015,26.1,Pre-Monsoon (Mar-May)
Nawabganj,Rajshahi,4,April,1804.38,31.73,0.017585,2015,73.4,Pre-Monsoon (Mar-May)
Netrakona,Dhaka,4,April,3089.39,6.86,0.00222,2015,15.9,Pre-Monsoon (Mar-May)
Nilphamari,Rangpur,4,April,1836.84,3.73,0.002031,2015,8.6,Pre-Monsoon (Mar-May)
Noakhali,Chittagong,4,April,2642.03,97.71,0.036981,2015,226.1,Pre-Monsoon (Mar-May)
Pabna,Rajshahi,4,April,2634.14,65.54,0.024879,2015,151.7,Pre-Monsoon (Mar-May)
Panchagarh,Rangpur,4,April,1548.93,0.48,0.000311,2015,1.1,Pre-Monsoon (Mar-May)
Patuakhali,Barisal,4,April,2730.09,150.67,0.05519,2015,348.7,Pre-Monsoon (Mar-May)
Pirojpur,Barisal,4,April,1365.69,66.36,0.048588,2015,153.6,Pre-Monsoon (Mar-May)
Rajbari,Dhaka,4,April,1249.73,76.59,0.061283,2015,177.2,Pre-Monsoon (Mar-May)
Rajshahi,Rajshahi,4,April,2664.72,21.37,0.008018,2015,49.5,Pre-Monsoon (Mar-May)
Rangamati,Chittagong,4,April,6226.79,187.65,0.030137,2015,434.3,Pre-Monsoon (Mar-May)
Rangpur,Rangpur,4,April,2572.65,2.81,0.001094,2015,6.5,Pre-Monsoon (Mar-May)
Satkhira,Khulna,4,April,3543.74,247.35,0.069798,2015,572.4,Pre-Monsoon (Mar-May)
Shariatpur,Dhaka,4,April,1362.06,89.75,0.06589,2015,207.7,Pre-Monsoon (Mar-May)
Sherpur,Dhaka,4,April,1455.19,0.39,0.000268,2015,0.9,Pre-Monsoon (Mar-May)
Sirajganj,Rajshahi,4,April,2755.65,191.05,0.069329,2015,442.1,Pre-Monsoon (Mar-May)
Sunamganj,Sylhet,4,April,4043.04,50.86,0.012581,2015,117.7,Pre-Monsoon (Mar-May)
Sylhet,Sylhet,4,April,3847.75,30.71,0.007981,2015,71.1,Pre-Monsoon (Mar-May)
Tangail,Dhaka,4,April,3707.07,63.0,0.016994,2015,145.8,Pre-Monsoon (Mar-May)
Thakurgaon,Rangpur,4,April,2008.93,0.38,0.000189,2015,0.9,Pre-Monsoon (Mar-May)
